6,54,89,48,Trials
98,55,149,46,Control Trials Airplane without modifications
251,55,148,46,Experimental Group #1 Airplane with
403,55,150,46,Experimental Group #2 Airplace with
6,104,88,26,1
6,134,88,23,2
6,162,90,25,3
5,192,89,24,4
6,219,89,26,5
6,247,89,27,6
6,277,88,25,7
6,306,89,23,8
6,335,90,26,(total)
7,364,87,23,Mean
7,391,88,25,Median
6,420,89,25,Mode
6,448,89,24,Range
97,104,150,27,
251,105,148,27,
404,105,150,26,
97,134,150,25,
251,134,148,25,
404,134,149,23,
97,162,150,25,
251,162,150,27,
403,162,150,25,
98,191,149,27,
251,191,149,26,
404,191,149,25,
97,220,150,25,
251,220,150,25,
405,221,148,23,
98,248,150,25,
250,247,151,27,
404,248,149,27,
98,278,150,23,
250,276,152,25,
404,277,148,25,
98,306,149,23,
251,306,150,24,
403,306,150,24,
98,335,150,26,
252,335,150,26,
405,336,148,25,
99,362,148,25,
251,364,151,23,
404,363,149,24,
98,391,150,25,
251,391,150,25,
405,392,148,25,
97,419,149,27,
250,420,152,25,
403,419,151,28,
97,448,151,27,
250,449,149,24,
403,449,151,24,
