2,25,123,44,
127,25,100,46,All household crime
236,26,99,44,All personal crime
350,26,70,38,All BCS crime
1,80,58,25,1983
1,107,56,25,1987
1,134,50,18,1991
2,154,51,21,1995
1,178,51,23,1999
1,203,54,18,2003/04
0,223,58,22,2007/08
0,246,64,22,2008/09
185,83,33,22,7.7
185,109,31,20,9.0
178,132,43,21,10.4
179,156,38,21,12.4
185,179,32,24,9.4
186,204,32,20,7.2
190,226,32,20,6.5
189,250,30,18,6.8
288,83,28,22,4.2
286,108,33,23,4.4
287,132,26,22,4.7
286,155,31,22,6.9
287,179,37,22,5.6
288,203,33,18,4.5
288,227,30,18,3.8
286,249,33,21,3.9
375,82,43,29,11.9
374,109,43,20,13.4
376,132,40,20,15.1
378,154,43,25,19.4
381,181,44,21,15.0
379,202,47,25,11.7
379,227,48,24,10.2
381,252,44,21,10.7
