7,27,65,31,
75,28,63,28,Pool
142,28,91,30,Video Games(Inside)
236,29,62,26,Total
7,60,65,21,Boys
75,60,63,22,4
144,59,89,20,8
238,61,61,17,12
8,82,65,20,Girls
74,82,61,21,10
142,83,90,19,3
237,84,65,19,13
6,105,67,21,Total
76,108,61,19,14
142,104,92,23,11
237,106,62,21,25
337,27,64,30,
403,28,67,27,Pool
469,27,93,31,Video Games(Inside)
563,28,65,27,Total
336,60,66,18,Boys
403,60,65,18,0.16
469,59,91,21,0.32
565,59,62,22,0.48
335,83,64,19,Girls
402,83,66,19,0.40
469,83,91,19,0.12
564,82,64,19,0.52
336,106,65,17,Total
402,104,66,20,0.56
471,107,90,18,0.44
566,104,63,21,1.00
