125,33,92,22,PREFIX
222,33,106,22,SYMBOL
327,32,116,24,FACTOR
445,30,143,24,EXPONENTIAL
128,63,83,27,giga
128,95,84,28,mega
126,125,89,36,kilo
127,165,74,26,hecto
126,194,62,32,deca
127,233,66,27,
130,261,66,36,deci
129,300,72,30,centi
128,334,75,35,milli
128,369,76,32,micro
129,401,79,31,nano
233,62,81,30,G
239,97,75,25,M
242,127,76,34,K
249,166,56,25,H
253,198,56,28,da
256,235,54,25,
254,262,60,33,D
254,301,56,27,C
257,333,49,31,m
257,367,47,30,µ
260,406,39,25,n
336,64,104,28,1,000,000,000
363,96,73,28,1,000,000
384,131,55,29,1,000
401,166,35,25,100
405,203,33,25,10
413,236,22,22,1
353,272,48,21,0.1
356,302,50,24,0.01
353,336,61,30,0.001
357,373,70,24,0.000001
360,403,86,31,0.000000001
491,65,40,24,109
496,98,34,24,106
495,130,34,25,103
494,168,35,23,102
495,199,40,29,101
495,234,34,24,100
495,268,32,26,10-1
498,306,31,21,10-2
495,338,37,24,10-3
494,370,41,29,10-6
494,407,36,23,10-9
