5,3,145,26,Aspect
151,4,74,25,Excellent
225,3,87,24,Satisfactory
313,3,100,24,Unsatisfactory
4,30,146,22,Prompt
3,55,144,24,Congruence
5,80,144,22,Idea Generation
4,103,145,23,Convention
4,127,145,23,Scoring
5,153,144,21,Overall presentation
151,30,75,22,17.5
151,54,73,22,57.5
152,78,72,23,15.0
151,105,72,21,22.5
152,128,71,24,2.5
151,152,74,23,15.0
226,30,88,22,42.5
226,54,84,22,
227,79,86,21,47.5
224,102,89,25,47.5
226,127,84,23,40.0
226,153,83,22,72.5
315,29,99,24,40.0
313,54,102,24,42.5
314,78,99,23,37.5
313,103,100,22,30.0
315,128,97,22,57.5
313,152,99,24,12.5
